Date,open,high,low,close,adjusted_close,volume
2024-03-26,11.55,27.23,10.33,11.29,11.29,0
2024-03-27,11.22,16.97,9.64,10.66,10.66,0
2024-03-28,11.28,21.46,10.52,11.17,11.17,0
2024-04-01,12.0,18.73,9.35,14.85,14.85,0
2024-04-02,12.93,21.12,10.19,12.57,12.57,0
2024-04-03,12.83,24.33,10.04,12.57,12.57,0
2024-04-04,12.49,24.67,10.83,13.4,13.4,0
2024-04-05,14.16,20.85,12.47,13.19,13.19,0
2024-04-08,15.71,22.5,8.8,13.84,13.84,0
2024-04-09,13.83,31.84,13.43,13.82,13.82,0
2024-04-10,14.23,16.32,13.64,14.53,14.53,0
2024-04-11,14.21,33.97,13.6,14.17,14.17,0
2024-04-12,21.68,21.99,14.86,15.93,15.93,0
2024-04-15,19.62,24.46,13.64,17.27,17.27,0
2024-04-16,16.95,36.88,10.97,16.09,16.09,0
2024-04-17,15.75,29.53,13.98,15.89,15.89,0
2024-04-18,15.6,16.79,14.76,15.45,15.45,0
2024-04-19,15.86,27.85,14.83,15.74,15.74,0
2024-04-22,15.35,29.01,14.24,14.45,14.45,0
2024-04-23,14.14,23.57,12.76,13.5,13.5,0
2024-04-24,13.55,22.23,13.17,13.62,13.62,0
2024-04-25,14.47,27.14,10.74,10.74,10.74,0
2024-04-26,13.19,32.32,11.68,13.01,13.01,0
2024-04-29,13.19,15.13,12.23,13.08,13.08,0
2024-04-30,13.23,16.75,12.99,13.56,13.56,0
2024-05-01,14.18,23.85,12.93,13.84,13.84,0
2024-05-02,13.49,32.41,12.37,12.8,12.8,0
2024-05-03,11.92,28.52,11.89,12.11,12.11,0
2024-05-06,12.24,13.2,11.02,12.19,12.19,0
2024-05-07,12.13,26.37,11.76,11.84,11.84,0
2024-05-08,12.55,18.89,10.84,11.76,11.76,0
2024-05-09,11.82,17.68,11.54,11.7,11.7,0
2024-05-10,11.68,12.67,11.29,11.66,11.66,0
2024-05-13,11.94,13.58,4.48,12.29,12.29,0
2024-05-14,11.79,19.79,5.89,12.21,12.21,0
2024-05-15,10.8,12.09,3.74,10.15,10.15,0
2024-05-16,10.23,16.56,5.35,10.17,10.17,0
2024-05-17,10.06,16.46,9.36,10.82,10.82,0
2024-05-20,10.34,21.39,8.31,9.64,9.64,0
2024-05-21,10.51,18.21,9.68,9.68,9.68,0
2024-05-22,9.82,17.83,8.43,8.67,8.67,0
2024-05-23,9.95,21.31,9.37,9.37,9.37,0
2024-05-24,10.99,18.88,10.41,10.9,10.9,0
2024-05-28,12.12,19.99,10.74,10.75,10.75,0
2024-05-29,12.45,28.33,12.35,12.81,12.81,0
2024-05-30,12.92,29.49,12.19,13.1,13.1,0
2024-05-31,12.76,15.3,10.5,11.57,11.57,0
2024-06-03,12.0,21.14,11.91,12.34,12.34,0
2024-06-04,12.78,26.87,11.33,12.33,12.33,0
2024-06-05,12.13,29.53,10.63,11.89,11.89,0
2024-06-06,11.91,29.15,11.65,11.67,11.67,0
2024-06-07,11.88,14.46,10.77,11.49,11.49,0
2024-06-10,12.11,13.4,11.77,11.9,11.9,0
2024-06-11,12.24,26.03,11.97,12.03,12.03,0
2024-06-12,11.19,16.53,10.48,10.87,10.87,0
2024-06-13,10.68,18.62,10.68,11.02,11.02,0
2024-06-14,11.34,16.1,11.22,12.2,12.2,0
2024-06-17,12.83,13.52,11.75,11.79,11.79,0
2024-06-18,11.89,14.73,11.73,11.86,11.86,0
2024-06-20,12.12,22.04,12.06,12.72,12.72,0
2024-06-21,12.94,23.2,12.11,12.18,12.18,0
2024-06-24,12.69,18.07,12.08,12.58,12.58,0
2024-06-25,12.5,20.16,12.19,12.34,12.34,0
2024-06-26,12.61,17.08,11.23,12.27,12.27,0
2024-06-27,12.23,20.3,11.51,11.51,11.51,0
2024-06-28,12.07,20.21,10.76,11.58,11.58,0
2024-07-01,12.22,13.81,11.48,11.54,11.54,0
2024-07-02,11.82,12.67,11.17,11.26,11.26,0
2024-07-03,11.3,14.15,11.19,11.38,11.38,0
2024-07-05,11.28,13.32,11.06,11.42,11.42,0
2024-07-08,11.81,14.15,11.68,11.94,11.94,0
2024-07-09,12.02,20.65,11.6,12.42,12.42,0
2024-07-10,12.48,13.95,12.05,12.56,12.56,0
2024-07-11,12.31,13.55,11.83,12.56,12.56,0
2024-07-12,12.42,18.62,11.45,11.54,11.54,0
2024-07-15,11.95,23.33,11.75,12.15,12.15,0
